SKU,NAME,UPC
SOFT-SC12-BLACK,Pelican 12 Can Soft Cooler-SOFT-SC12-BLACK,019428144968
SOFT-SC24-BLACK,Pelican 24 Can Soft Cooler-SOFT-SC24-BLACK,019428144999
SOFT-SC48-BLACK,Pelican 48 Can Soft Cooler-SOFT-SC48-BLACK,019428145026
PEL-22OZ,Pelican 22oz Tumbler with Slide Lid SD22,019428170189
PEL-22OZ-BK,Pelican 22oz Tumbler with Slide Lid SD22 (Black),019428170189
PEL-22OZ-RED LINE,Pelican 22oz Tumbler with Slide Lid SD22 (Red Line),019428170196
PEL-22OZ-BLUE LINE,Pelican 22oz Tumbler with Slide Lid SD22 (Blue Line),019428170202
PEL-22OZ-GRN,Pelican 22oz Tumbler with Slide Lid SD22 (OD green),019428170233
PEL-22OZ-SS,Pelican 22oz Tumbler with Slide Lid SD22 (Stainless Steel),019428170240
Dudley-ASA HYCON-ELEVEN INCH-4A924Y,"Dudley ASA Thunder ZN Hycon 11"" 52/300 Composite Softball (4A924Y)",026307129244
Dudley-ASA HYCON-ELEVEN INCH-4A924Y-ONE-DOZEN,"Dudley ASA Thunder ZN Hycon 11"" 52/300 Composite Softball (4A924Y) (1-Dozen)",026307129244
Dudley-ASA HYCON-ELEVEN INCH-4A924Y-SIX-DOZEN(CASE),"Dudley ASA Thunder ZN Hycon 11"" 52/300 Composite Softball (4A924Y) (6-Dozen Case)",026307129244
Dudley-ZN STADIUM-4U528Y,"USSSA Dudley Thunder ZN Stadium Stamp 12""- 47/450 Slowpitch Softball",026307435284
Dudley-ZN STADIUM-4U528Y-ONE-DOZEN,"USSSA Dudley Thunder ZN Stadium Stamp 12""- 47/450 Slowpitch Softball (1-Dozen)",026307435284
Dudley-ZN STADIUM-4U528Y-SIX-DOZEN(CASE),"USSSA Dudley Thunder ZN Stadium Stamp 12""- 47/450 Slowpitch Softball (6-Dozen Case)",026307435284
Dudley-ZN Classic M- 4U540Y,"USSSA Dudley Thunder ZN Classic-M Stamp 12""- 40/325 Slowpitch Softball",026307435406
Dudley-ZN Classic M- 4U540Y-ONE-DOZEN,"USSSA Dudley Thunder ZN Classic-M Stamp 12""- 40/325 Slowpitch Softball (1-Dozen)",026307435406
Dudley-ZN Classic M- 4U540Y-SIX-DOZEN(CASE),"USSSA Dudley Thunder ZN Classic-M Stamp 12""- 40/325 Slowpitch Softball (6-Dozen Case)",026307435406
Dudley-ASA-HYCON-4A-068Y,"Dudley ASA Thunder ZN Hycon 12"" 52/300 Softball (4A-068Y)",026307435550
Dudley-ASA HYCON-(4A-068Y)-ONE-DOZEN,"Dudley ASA Thunder ZN Hycon 12"" 52/300 Softball (4A-068Y) (1-Dozen)",026307435550
Dudley-ASA HYCON-(4A-068Y)-SIX-DOZEN(CASE),"Dudley ASA Thunder ZN Hycon 12"" 52/300 Softball (4A-068Y) (6-Dozen Case)",026307435550
Dudley-ASA-SYNTHETIC HYCON-4A-069Y,"Dudley ASA Synthetic Thunder SY Hycon 12"" 52/300 Softball (4A-069Y)",026307435567
Dudley-ASA-SYNTHETIC HYCON-4A-069Y-ONE-DOZEN,"Dudley ASA Synthetic Thunder SY Hycon 12"" 52/300 Softball (4A-069Y) (1-Dozen)",026307435567
Dudley-ASA-SYNTHETIC HYCON-4A-069Y-SIX-DOZEN(CASE),"Dudley ASA Synthetic Thunder SY Hycon 12"" 52/300 Softball (4A-069Y) (6-Dozen Case)",026307435567
Dudley-THUNDER-ADVANCE-12IN-43184Y,"Dudley Thunder Advance 12"" 44/375 (No Stamp) Slowpitch Softballs 43184Y",026307741859
Dudley-THUNDER-ADVANCE-12IN-43184Y-ONE-DOZEN,"Dudley Thunder Advance 12"" 44/375 (No Stamp) Slowpitch Softballs 43184Y (1-Dozen)",026307741859
Dudley-THUNDER-ADVANCE-12IN-43184Y-SIX-DOZEN(CASE),"Dudley Thunder Advance 12"" 44/375 (No Stamp) Slowpitch Softballs 43184Y (6-Dozen Case)",026307741859
GT2241,"G Tee Batting Tee (Adjustable 22-41"") GT2241",044624000008
GT2653,"G Tee Batting Tee (Adjustable 26-53"") GT2653",044624000015
GT2241Lite,"G Tee Batting Tee (Adjustable 22-41"") GT2241Lite",044624000022
GT2653Lite,"G Tee Batting Tee (Adjustable 26-53"") GT2653Lite",044624000039
GT1830,"G Tee Batting Tee (Adjustable 18-30"") GT1830",044624000176
GT1830Lite,"G Tee Batting Tee (Adjustable 18-30"") GT1830Lite",044624000183
TURF-BLACK,SIS X Lite Turf Shoes (Black),146240000001
TURF-BLACK-10,SIS X Lite Turf Shoes (Black) (10),146240000002
TURF-BLACK-10.5,SIS X Lite Turf Shoes (Black) (10.5),146240000003
TURF-BLACK-11,SIS X Lite Turf Shoes (Black) (11),146240000004
TURF-BLACK-12,SIS X Lite Turf Shoes (Black) (12),146240000005
TURF-BLACK-13,SIS X Lite Turf Shoes (Black) (13),146240000006
TURF-BLACK-6,SIS X Lite Turf Shoes (Black) (6),146240000007
TURF-BLACK-7,SIS X Lite Turf Shoes (Black) (7),146240000008
TURF-BLACK-8,SIS X Lite Turf Shoes (Black) (8),146240000009
TURF-BLACK-9,SIS X Lite Turf Shoes (Black) (9),146240000010
TURF-BLACK-9.5,SIS X Lite Turf Shoes (Black) (9.5),146240000011
TURF-CALIENTE,SIS X Lite Turf Shoes (Caliente),146240000012
TURF-CALIENTE-10,SIS X Lite Turf Shoes (Caliente) (10),146240000013
TURF-CALIENTE-10.5,SIS X Lite Turf Shoes (Caliente) (10.5),146240000014
TURF-CALIENTE-11,SIS X Lite Turf Shoes (Caliente) (11),146240000015
TURF-CALIENTE-12,SIS X Lite Turf Shoes (Caliente) (12),146240000016
TURF-CALIENTE-13,SIS X Lite Turf Shoes (Caliente) (13),146240000017
TURF-CALIENTE-6,SIS X Lite Turf Shoes (Caliente) (6),146240000018
TURF-CALIENTE-7,SIS X Lite Turf Shoes (Caliente) (7),146240000019
TURF-CALIENTE-8,SIS X Lite Turf Shoes (Caliente) (8),146240000020
TURF-CALIENTE-9,SIS X Lite Turf Shoes (Caliente) (9),146240000021
TURF-CALIENTE-9.5,SIS X Lite Turf Shoes (Caliente) (9.5),146240000022
TURF-ELECTRIC-BLUE,SIS X Lite Turf Shoes (Electric Blue),146240000023
TURF-ELECTRIC-BLUE-10,SIS X Lite Turf Shoes (Electric Blue) (10),146240000024
TURF-ELECTRIC-BLUE-10.5,SIS X Lite Turf Shoes (Electric Blue) (10.5),146240000025
TURF-ELECTRIC-BLUE-11,SIS X Lite Turf Shoes (Electric Blue) (11),146240000026
TURF-ELECTRIC-BLUE-12,SIS X Lite Turf Shoes (Electric Blue) (12),146240000027
TURF-ELECTRIC-BLUE-13,SIS X Lite Turf Shoes (Electric Blue) (13),146240000028
TURF-ELECTRIC-BLUE-6,SIS X Lite Turf Shoes (Electric Blue) (6),146240000029
TURF-ELECTRIC-BLUE-7,SIS X Lite Turf Shoes (Electric Blue) (7),146240000030
TURF-ELECTRIC-BLUE-8,SIS X Lite Turf Shoes (Electric Blue) (8),146240000031
TURF-ELECTRIC-BLUE-9,SIS X Lite Turf Shoes (Electric Blue) (9),146240000032
TURF-ELECTRIC-BLUE-9.5,SIS X Lite Turf Shoes (Electric Blue) (9.5),146240000033
TURF-LAVA,SIS X Lite Turf Shoes (Lava),146240000034
TURF-LAVA-10,SIS X Lite Turf Shoes (Lava) (10),146240000035
TURF-LAVA-10.5,SIS X Lite Turf Shoes (Lava) (10.5),146240000036
TURF-LAVA-11,SIS X Lite Turf Shoes (Lava) (11),146240000037
TURF-LAVA-12,SIS X Lite Turf Shoes (Lava) (12),146240000038
TURF-LAVA-13,SIS X Lite Turf Shoes (Lava) (13),146240000039
TURF-LAVA-6,SIS X Lite Turf Shoes (Lava) (6),146240000040
TURF-LAVA-7,SIS X Lite Turf Shoes (Lava) (7),146240000041
TURF-LAVA-8,SIS X Lite Turf Shoes (Lava) (8),146240000042
TURF-LAVA-9,SIS X Lite Turf Shoes (Lava) (9),146240000043
TURF-LAVA-9.5,SIS X Lite Turf Shoes (Lava) (9.5),146240000044
TURF-PINK-A-DELIC,SIS X Lite Turf Shoes (Pink-A-Delic),146240000045
TURF-PINK-A-DELIC-10,SIS X Lite Turf Shoes (Pink-A-Delic) (10),146240000046
TURF-PINK-A-DELIC-10.5,SIS X Lite Turf Shoes (Pink-A-Delic) (10.5),146240000047
TURF-PINK-A-DELIC-11,SIS X Lite Turf Shoes (Pink-A-Delic) (11),146240000048
TURF-PINK-A-DELIC-12,SIS X Lite Turf Shoes (Pink-A-Delic) (12),146240000049
TURF-PINK-A-DELIC-13,SIS X Lite Turf Shoes (Pink-A-Delic) (13),146240000050
TURF-PINK-A-DELIC-6,SIS X Lite Turf Shoes (Pink-A-Delic) (6),146240000051
TURF-PINK-A-DELIC-7,SIS X Lite Turf Shoes (Pink-A-Delic) (7),146240000052
TURF-PINK-A-DELIC-8,SIS X Lite Turf Shoes (Pink-A-Delic) (8),146240000053
TURF-PINK-A-DELIC-9,SIS X Lite Turf Shoes (Pink-A-Delic) (9),146240000054
TURF-PINK-A-DELIC-9.5,SIS X Lite Turf Shoes (Pink-A-Delic) (9.5),146240000055
TURF-PLATINUM,SIS X Lite Turf Shoes (Platinum),146240000056
TURF-PLATINUM-10,SIS X Lite Turf Shoes (Platinum) (10),146240000057
TURF-PLATINUM-10.5,SIS X Lite Turf Shoes (Platinum) (10.5),146240000058
TURF-PLATINUM-11,SIS X Lite Turf Shoes (Platinum) (11),146240000059
TURF-PLATINUM-12,SIS X Lite Turf Shoes (Platinum) (12),146240000060
TURF-PLATINUM-13,SIS X Lite Turf Shoes (Platinum) (13),146240000061
TURF-PLATINUM-6,SIS X Lite Turf Shoes (Platinum) (6),146240000062
TURF-PLATINUM-7,SIS X Lite Turf Shoes (Platinum) (7),146240000063
TURF-PLATINUM-8,SIS X Lite Turf Shoes (Platinum) (8),146240000064
TURF-PLATINUM-9,SIS X Lite Turf Shoes (Platinum) (9),146240000065
TURF-PLATINUM-9.5,SIS X Lite Turf Shoes (Platinum) (9.5),146240000066
TURF-VOLT,SIS X Lite Turf Shoes (Volt),146240000067
TURF-VOLT-10,SIS X Lite Turf Shoes (Volt) (10),146240000068
TURF-VOLT-10.5,SIS X Lite Turf Shoes (Volt) (10.5),146240000069
TURF-VOLT-11,SIS X Lite Turf Shoes (Volt) (11),146240000070
TURF-VOLT-12,SIS X Lite Turf Shoes (Volt) (12),146240000071
TURF-VOLT-13,SIS X Lite Turf Shoes (Volt) (13),146240000072
TURF-VOLT-6,SIS X Lite Turf Shoes (Volt) (6),146240000073
TURF-VOLT-7,SIS X Lite Turf Shoes (Volt) (7),146240000074
